Wed May 14 21:53:37 CEST 2014  


Wed May 14 21:54:43 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:43 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:43 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:43 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:43 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:43 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:43 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:43 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:43 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:43 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:43 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:43 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:43 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:44 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:44 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:44 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:44 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:44 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:44 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:44 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:44 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:44 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:44 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:44 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:44 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:44 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:44 CEST 2014  Creating StateMachine: Zombie
